"id","name","model","vehicle_class","manufacturer","length","cost_in_credits","crew","passengers","max_atmosphering_speed","cargo_capacity","consumables","created","edited"
1,"Sand Crawler","Digger Crawler","wheeled","Corellia Mining Corporation",NULL,"150000",46,30,30,"50000","2 months","2014-12-10 15:36:25.724","2014-12-20 21:30:21.661"
2,"T-16 skyhopper","T-16 skyhopper","repulsorcraft","Incom Corporation",NULL,"14500",1,1,1200,"50","0","2014-12-10 16:01:52.434","2014-12-20 21:30:21.665"
3,"X-34 landspeeder","X-34 landspeeder","repulsorcraft","SoroSuub Corporation",NULL,"10550",1,1,250,"5","unknown","2014-12-10 16:13:52.586","2014-12-20 21:30:21.668"
4,"TIE/LN starfighter","Twin Ion Engine/Ln Starfighter","starfighter","Sienar Fleet Systems","6.4",NULL,1,0,1200,"65","2 days","2014-12-10 16:33:52.86","2014-12-20 21:30:21.67"
5,"Snowspeeder","t-47 airspeeder","airspeeder","Incom corporation","4.5",NULL,2,0,650,"10","none","2014-12-15 12:22:12","2014-12-20 21:30:21.672"
6,"TIE bomber","TIE/sa bomber","space/planetary bomber","Sienar Fleet Systems","7.8",NULL,1,0,850,NULL,"2 days","2014-12-15 12:33:15.838","2014-12-20 21:30:21.675"
7,"AT-AT","All Terrain Armored Transport","assault walker","Kuat Drive Yards, Imperial Department of Military Research","20",NULL,5,40,60,"1000","unknown","2014-12-15 12:38:25.937","2014-12-20 21:30:21.677"
8,"AT-ST","All Terrain Scout Transport","walker","Kuat Drive Yards, Imperial Department of Military Research","2",NULL,2,0,90,"200","none","2014-12-15 12:46:42.384","2014-12-20 21:30:21.679"
9,"Storm IV Twin-Pod cloud car","Storm IV Twin-Pod","repulsorcraft","Bespin Motors","7","75000",2,0,1500,"10","1 day","2014-12-15 12:58:50.53","2014-12-20 21:30:21.681"
10,"Sail barge","Modified Luxury Sail Barge","sail barge","Ubrikkian Industries Custom Vehicle Division","30","285000",26,500,100,"2000000","Live food tanks","2014-12-18 10:44:14.217","2014-12-20 21:30:21.684"
